Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2011","2011","t","28943","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2012","2012","t","40172","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2013","2013","t","27803","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2014","2014","t","27079","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2015","2015","t","33178","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2016","2016","t","54641","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2017","2017","t","46566","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2018","2018","t","57189","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2019","2019","t","29839","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2020","2020","t","39475","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2021","2021","t","22837","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2022","2022","t","84016","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3103","Nutrient phosphate P2O5 (total)","2023","2023","t","74610","I","Value imputed by a receiving agency",""
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1990","1990","t","2800","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1991","1991","t","4717","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1992","1992","t","4776","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","834","United Republic of Tanzania","5157","Agricultural Use","3104","Nutrient potash K2O (total)","1993","1993","t","3200","X","Figure from external organization","Data sourced from another international organization"
