holding_id,sec16_otherproducts__id,s16q02a,s16q02b,s16q03,s16q03_unit,s16q04,s16q05,s16q06d,s16q06e
00-40-70-71,Animal dung from ruminants and poultry,,,,,No,,,
00-40-86-65,Animal dung from ruminants and poultry,,,,,No,,,
00-40-94-89,Animal dung from ruminants and poultry,,,,,No,,,
00-41-32-57,Animal dung from ruminants and poultry,,,,,No,,,
00-41-53-38,Animal dung from ruminants and poultry,,,,,No,,,
00-41-58-03,Animal dung from ruminants and poultry,,,,,No,,,
00-42-07-83,Animal dung from ruminants and poultry,,,,,No,,,
00-42-13-86,Animal dung from ruminants and poultry,,,,,No,,,
00-42-25-46,Animal dung from ruminants and poultry,,,,,No,,,
00-43-06-41,Animal dung from ruminants and poultry,,,,,No,,,
00-43-18-62,Animal dung from ruminants and poultry,,,,,No,,,
00-43-53-72,Animal dung from ruminants and poultry,,,,,No,,,
00-43-64-57,Animal dung from ruminants and poultry,,,,,No,,,
00-43-74-27,Animal dung from ruminants and poultry,,,,,No,,,
00-44-22-60,Animal dung from ruminants and poultry,,,,,No,,,
00-44-35-91,Animal dung from ruminants and poultry,,,,,No,,,
00-44-81-47,Animal dung from ruminants and poultry,,,,,No,,,
00-45-00-31,Animal dung from ruminants and poultry,,,,,No,,,
00-45-02-30,Animal dung from ruminants and poultry,,,,,No,,,
00-45-45-77,Animal dung from ruminants and poultry,,,,,No,,,
00-45-65-40,Animal dung from ruminants and poultry,,,,,No,,,
00-45-93-05,Animal dung from ruminants and poultry,,,,,No,,,
00-46-06-72,Animal dung from ruminants and poultry,,,,,No,,,
00-46-30-81,Animal dung from ruminants and poultry,,,,,No,,,
00-46-38-89,Animal dung from ruminants and poultry,,,,,No,,,
00-46-68-29,Animal dung from ruminants and poultry,,,,,No,,,
00-47-35-53,Animal dung from ruminants and poultry,,,,,No,,,
00-48-02-94,Animal dung from ruminants and poultry,,,,,No,,,
00-48-37-08,Animal dung from ruminants and poultry,,,,,No,,,
00-49-09-74,Animal dung from ruminants and poultry,,,,,No,,,
00-49-51-04,Animal dung from ruminants and poultry,,,,,No,,,
00-49-82-15,Animal dung from ruminants and poultry,,,,,No,,,
00-49-88-09,Animal dung from ruminants and poultry,,,,,No,,,
00-50-04-02,Animal dung from ruminants and poultry,,,,,No,,,
00-50-77-29,Animal dung from ruminants and poultry,,,,,No,,,
00-51-04-46,Sting/Stingless bee honey,4,0,40,Litres,Yes,10,7000,
00-51-31-46,Animal dung from ruminants and poultry,,,,,No,,,
00-51-58-34,Animal dung from ruminants and poultry,,,,,No,,,
00-51-58-53,Animal dung from ruminants and poultry,,,,,No,,,
00-51-61-07,Animal dung from ruminants and poultry,,,,,Yes,,,126500
00-51-90-89,Animal dung from ruminants and poultry,,,,,No,,,
00-52-05-15,Animal dung from ruminants and poultry,,,,,No,,,
00-52-37-64,Sting/Stingless bee honey,2,0,1,Litres,No,,,
00-52-37-64,Animal dung from ruminants and poultry,,,,,No,,,
00-52-48-01,Animal dung from ruminants and poultry,,,,,No,,,
00-52-86-10,Animal dung from ruminants and poultry,,,,,No,,,
00-53-35-89,Animal dung from ruminants and poultry,,,,,No,,,
00-53-73-77,Animal dung from ruminants and poultry,,,,,No,,,
00-54-41-43,Animal dung from ruminants and poultry,,,,,No,,,
00-54-53-27,Animal dung from ruminants and poultry,,,,,No,,,
00-54-77-32,Animal dung from ruminants and poultry,,,,,No,,,
00-54-99-02,Animal dung from ruminants and poultry,,,,,No,,,
00-55-73-89,Animal dung from ruminants and poultry,,,,,No,,,
00-55-84-22,Animal dung from ruminants and poultry,,,,,No,,,
00-55-85-16,Animal dung from ruminants and poultry,,,,,No,,,
00-57-07-64,Animal dung from ruminants and poultry,,,,,No,,,
00-57-11-67,Animal dung from ruminants and poultry,,,,,No,,,
00-58-26-43,Animal dung from ruminants and poultry,,,,,No,,,
00-58-37-31,Animal dung from ruminants and poultry,,,,,No,,,
00-58-60-95,Animal dung from ruminants and poultry,,,,,No,,,
00-58-93-43,Animal dung from ruminants and poultry,,,,,No,,,
00-59-02-14,Animal dung from ruminants and poultry,,,,,No,,,
00-59-53-38,Animal dung from ruminants and poultry,,,,,No,,,
00-59-64-96,Animal dung from ruminants and poultry,,,,,No,,,
00-59-72-68,Animal dung from ruminants and poultry,,,,,No,,,
00-59-92-67,Animal dung from ruminants and poultry,,,,,No,,,
00-60-30-74,Animal dung from ruminants and poultry,,,,,No,,,
00-60-39-87,Animal dung from ruminants and poultry,,,,,No,,,
00-61-32-44,Animal dung from ruminants and poultry,,,,,No,,,
00-61-61-27,Animal dung from ruminants and poultry,,,,,No,,,
00-61-61-48,Animal dung from ruminants and poultry,,,,,No,,,
00-62-38-61,Animal dung from ruminants and poultry,,,,,No,,,
00-62-60-84,Animal dung from ruminants and poultry,,,,,No,,,
00-62-67-12,Animal dung from ruminants and poultry,,,,,No,,,
00-62-78-90,Animal dung from ruminants and poultry,,,,,No,,,
00-63-13-85,Animal dung from ruminants and poultry,,,,,No,,,
00-63-37-69,Animal dung from ruminants and poultry,,,,,No,,,
00-63-50-84,Animal dung from ruminants and poultry,,,,,No,,,
00-63-64-66,Animal dung from ruminants and poultry,,,,,No,,,
00-63-72-79,Animal dung from ruminants and poultry,,,,,No,,,
00-63-85-18,Animal dung from ruminants and poultry,,,,,No,,,
00-63-95-28,Animal dung from ruminants and poultry,,,,,No,,,
00-64-49-24,Animal dung from ruminants and poultry,,,,,No,,,
00-64-51-33,Animal dung from ruminants and poultry,,,,,No,,,
00-64-68-00,Animal dung from ruminants and poultry,,,,,No,,,
00-65-21-77,Animal dung from ruminants and poultry,,,,,No,,,
00-65-30-75,Animal dung from ruminants and poultry,,,,,No,,,
00-65-46-54,Animal dung from ruminants and poultry,,,,,No,,,
00-65-51-24,Animal dung from ruminants and poultry,,,,,No,,,
00-65-94-52,Animal dung from ruminants and poultry,,,,,No,,,
00-66-07-41,Animal dung from ruminants and poultry,,,,,No,,,
00-66-22-02,Animal dung from ruminants and poultry,,,,,No,,,
00-66-49-17,Animal dung from ruminants and poultry,,,,,No,,,
00-66-63-84,Animal dung from ruminants and poultry,,,,,No,,,
00-66-81-39,Animal dung from ruminants and poultry,,,,,No,,,
00-66-94-17,Animal dung from ruminants and poultry,,,,,No,,,
00-67-42-53,Animal dung from ruminants and poultry,,,,,No,,,
00-67-58-20,Animal dung from ruminants and poultry,,,,,No,,,
00-67-87-81,Animal dung from ruminants and poultry,,,,,No,,,
00-68-19-26,Animal dung from ruminants and poultry,,,,,No,,,
00-68-26-39,Animal dung from ruminants and poultry,,,,,No,,,
00-68-70-17,Animal dung from ruminants and poultry,,,,,No,,,
00-68-70-42,Animal dung from ruminants and poultry,,,,,No,,,
00-68-94-28,Animal dung from ruminants and poultry,,,,,No,,,
00-68-94-62,Animal dung from ruminants and poultry,,,,,No,,,
00-69-11-10,Animal dung from ruminants and poultry,,,,,No,,,
00-69-13-02,Animal dung from ruminants and poultry,,,,,No,,,
00-69-14-60,Animal dung from ruminants and poultry,,,,,No,,,
00-69-45-27,Animal dung from ruminants and poultry,,,,,No,,,
00-69-60-87,Sting/Stingless bee honey,6,0,0,,,,,
00-69-65-87,Animal dung from ruminants and poultry,,,,,No,,,
00-69-66-63,Animal dung from ruminants and poultry,,,,,No,,,
00-69-67-03,Animal dung from ruminants and poultry,,,,,No,,,
00-69-94-06,Animal dung from ruminants and poultry,,,,,No,,,
00-70-32-64,Animal dung from ruminants and poultry,,,,,No,,,
00-70-53-58,Animal dung from ruminants and poultry,,,,,No,,,
00-70-97-00,Animal dung from ruminants and poultry,,,,,No,,,
00-71-12-96,Animal dung from ruminants and poultry,,,,,No,,,
00-71-26-08,Animal dung from ruminants and poultry,,,,,No,,,
00-71-40-74,Animal dung from ruminants and poultry,,,,,No,,,
00-72-01-52,Animal dung from ruminants and poultry,,,,,No,,,
00-73-02-10,Animal dung from ruminants and poultry,,,,,No,,,
00-73-11-55,Animal dung from ruminants and poultry,,,,,No,,,
00-73-20-89,Animal dung from ruminants and poultry,,,,,No,,,
00-73-36-23,Animal dung from ruminants and poultry,,,,,No,,,
00-73-38-37,Animal dung from ruminants and poultry,,,,,No,,,
00-73-90-21,Animal dung from ruminants and poultry,,,,,No,,,
00-74-20-34,Animal dung from ruminants and poultry,,,,,No,,,
00-74-27-46,Animal dung from ruminants and poultry,,,,,No,,,
00-74-75-07,Animal dung from ruminants and poultry,,,,,No,,,
00-75-01-52,Animal dung from ruminants and poultry,,,,,No,,,
00-75-18-63,Animal dung from ruminants and poultry,,,,,No,,,
00-75-41-60,Animal dung from ruminants and poultry,,,,,No,,,
00-75-48-52,Animal dung from ruminants and poultry,,,,,No,,,
00-75-53-84,Animal dung from ruminants and poultry,,,,,No,,,
00-75-63-67,Animal dung from ruminants and poultry,,,,,Yes,,,24667
00-75-78-96,Animal dung from ruminants and poultry,,,,,No,,,
00-76-42-21,Animal dung from ruminants and poultry,,,,,No,,,
00-76-63-59,Animal dung from ruminants and poultry,,,,,No,,,
00-76-88-80,Animal dung from ruminants and poultry,,,,,No,,,
00-77-48-28,Animal dung from ruminants and poultry,,,,,No,,,
00-77-62-48,Animal dung from ruminants and poultry,,,,,No,,,
00-77-64-33,Animal dung from ruminants and poultry,,,,,No,,,
00-77-74-57,Animal dung from ruminants and poultry,,,,,No,,,
00-78-68-00,Animal dung from ruminants and poultry,,,,,No,,,
00-78-82-31,Animal dung from ruminants and poultry,,,,,No,,,
00-79-53-84,Animal dung from ruminants and poultry,,,,,No,,,
00-79-74-47,Animal dung from ruminants and poultry,,,,,No,,,
00-79-82-70,Animal dung from ruminants and poultry,,,,,No,,,
00-80-09-74,Animal dung from ruminants and poultry,,,,,No,,,
00-80-36-63,Animal dung from ruminants and poultry,,,,,No,,,
00-80-52-02,Animal dung from ruminants and poultry,,,,,No,,,
00-80-52-96,Animal dung from ruminants and poultry,,,,,No,,,
00-80-96-86,Sting/Stingless bee honey,2,0,10,Litres,Yes,10,5000,
00-80-96-86,Animal dung from ruminants and poultry,,,,,No,,,
00-81-15-63,Animal dung from ruminants and poultry,,,,,No,,,
00-81-27-84,Animal dung from ruminants and poultry,,,,,No,,,
00-81-57-73,Animal dung from ruminants and poultry,,,,,No,,,
00-81-62-17,Animal dung from ruminants and poultry,,,,,No,,,
00-81-68-52,Animal dung from ruminants and poultry,,,,,No,,,
00-81-97-50,Animal dung from ruminants and poultry,,,,,No,,,
00-81-99-62,Animal dung from ruminants and poultry,,,,,No,,,
00-82-08-72,Animal dung from ruminants and poultry,,,,,No,,,
00-82-65-75,Animal dung from ruminants and poultry,,,,,No,,,
00-82-75-97,Animal dung from ruminants and poultry,,,,,No,,,
00-83-05-25,Animal dung from ruminants and poultry,,,,,No,,,
00-83-16-84,Animal dung from ruminants and poultry,,,,,No,,,
00-83-20-31,Animal dung from ruminants and poultry,,,,,No,,,
00-83-42-37,Animal dung from ruminants and poultry,,,,,No,,,
00-83-65-47,Animal dung from ruminants and poultry,,,,,No,,,
00-83-71-80,Animal dung from ruminants and poultry,,,,,No,,,
00-84-42-26,Animal dung from ruminants and poultry,,,,,No,,,
00-84-45-61,Animal dung from ruminants and poultry,,,,,No,,,
00-84-97-11,Animal dung from ruminants and poultry,,,,,No,,,
00-85-27-78,Animal dung from ruminants and poultry,,,,,No,,,
00-85-53-08,Animal dung from ruminants and poultry,,,,,No,,,
00-85-65-78,Animal dung from ruminants and poultry,,,,,No,,,
00-85-99-34,Animal dung from ruminants and poultry,,,,,No,,,
00-86-92-49,Animal dung from ruminants and poultry,,,,,No,,,
00-87-23-54,Animal dung from ruminants and poultry,,,,,No,,,
00-87-37-31,Animal dung from ruminants and poultry,,,,,No,,,
00-87-39-93,Animal dung from ruminants and poultry,,,,,No,,,
00-87-52-23,Animal dung from ruminants and poultry,,,,,No,,,
00-87-55-96,Animal dung from ruminants and poultry,,,,,No,,,
00-87-71-08,Animal dung from ruminants and poultry,,,,,No,,,
00-88-07-67,Animal dung from ruminants and poultry,,,,,No,,,
00-88-62-67,Animal dung from ruminants and poultry,,,,,No,,,
00-88-94-36,Animal dung from ruminants and poultry,,,,,No,,,
00-89-03-89,Animal dung from ruminants and poultry,,,,,No,,,
00-89-54-92,Animal dung from ruminants and poultry,,,,,No,,,
00-89-58-21,Animal dung from ruminants and poultry,,,,,No,,,
00-89-66-06,Animal dung from ruminants and poultry,,,,,No,,,
00-89-70-25,Animal dung from ruminants and poultry,,,,,No,,,
00-89-84-77,Animal dung from ruminants and poultry,,,,,No,,,
00-89-91-52,Animal dung from ruminants and poultry,,,,,No,,,
00-90-00-06,Animal dung from ruminants and poultry,,,,,No,,,
00-90-06-79,Animal dung from ruminants and poultry,,,,,No,,,
00-90-09-42,Animal dung from ruminants and poultry,,,,,No,,,
00-90-28-61,Animal dung from ruminants and poultry,,,,,No,,,
00-90-45-91,Sting/Stingless bee honey,12,0,20,Litres,Yes,15,5000,
00-90-60-79,Animal dung from ruminants and poultry,,,,,No,,,
00-90-62-72,Animal dung from ruminants and poultry,,,,,No,,,
00-90-63-27,Animal dung from ruminants and poultry,,,,,No,,,
00-90-74-89,Animal dung from ruminants and poultry,,,,,No,,,
00-90-96-57,Animal dung from ruminants and poultry,,,,,No,,,
00-91-13-70,Animal dung from ruminants and poultry,,,,,No,,,
00-91-22-48,Animal dung from ruminants and poultry,,,,,No,,,
00-91-25-42,Animal dung from ruminants and poultry,,,,,No,,,
00-92-20-51,Animal dung from ruminants and poultry,,,,,No,,,
00-92-68-35,Animal dung from ruminants and poultry,,,,,No,,,
00-92-94-33,Animal dung from ruminants and poultry,,,,,No,,,
00-92-99-85,Animal dung from ruminants and poultry,,,,,No,,,
