holding_id,FIELD__id,s3q03,s3q04a_hectares
00-16-33-74,3,Rented or leased in,0
00-16-47-99,1,Customary right of occupancy,2
00-16-47-99,2,Customary right of occupancy,0
00-16-49-08,1,Purchased,4
00-16-51-30,1,Other,2
00-16-56-16,1,Purchased,0
00-16-56-16,2,Inherited,0
00-16-64-17,1,Customary right of occupancy,0
00-16-72-45,1,Inherited,1
00-16-72-45,2,Inherited,1
00-16-72-45,3,Purchased,3
00-16-72-45,4,Purchased,1
00-16-76-09,1,Purchased,0
00-17-21-50,1,Inherited,0
00-17-21-50,2,Inherited,0
00-17-31-71,1,Customary right of occupancy,4
00-17-33-50,1,Customary right of occupancy,1
00-17-33-50,2,Customary right of occupancy,1
00-17-33-50,3,Customary right of occupancy,1
00-17-33-50,4,Customary right of occupancy,0
00-17-36-62,1,Customary right of occupancy,0
00-17-40-49,1,Customary right of occupancy,1
00-17-63-80,1,Granted right of occupancy,0
00-17-88-17,1,Customary right of occupancy,1
00-17-94-66,1,Rented or leased in,0
00-17-94-66,2,Customary right of occupancy,1
00-17-94-66,3,Customary right of occupancy,0
00-17-99-71,1,Customary right of occupancy,2
00-18-43-49,1,Borrowed for free,1
00-18-43-49,2,Borrowed for free,0
00-18-46-49,1,Inherited,0
00-18-74-52,1,Rented or leased in,1
00-18-83-43,1,Customary right of occupancy,1
00-18-83-43,2,Customary right of occupancy,0
00-19-02-95,1,Customary right of occupancy,1
00-19-26-13,1,Inherited,2
00-19-26-13,2,Inherited,1
00-19-32-34,1,Customary right of occupancy,2
00-19-35-62,1,Customary right of occupancy,1
00-19-35-67,1,Customary right of occupancy,0
00-19-39-75,1,Inherited,1
00-19-39-75,2,Granted right of occupancy,1
00-19-64-31,1,Purchased,3
00-19-68-59,1,Customary right of occupancy,2
00-19-78-94,1,Rented or leased in,0
00-19-78-94,2,Borrowed for free,0
00-19-81-97,1,Granted right of occupancy,0
00-19-81-97,2,Borrowed for free,1
00-19-81-97,3,Borrowed for free,0
00-19-87-02,1,Customary right of occupancy,0
00-20-22-26,1,Customary right of occupancy,1
00-20-22-26,2,Rented or leased in,0
00-20-24-51,1,Customary right of occupancy,0
00-20-24-93,1,Inherited,2
00-20-24-93,2,Inherited,1
00-20-24-93,3,Inherited,0
00-20-32-17,1,Rented or leased in,1
00-20-67-91,1,Borrowed for free,0
00-20-73-19,1,Rented or leased in,0
00-20-95-00,1,Inherited,1
00-20-95-00,2,Inherited,0
00-20-95-00,3,Inherited,1
00-21-01-85,1,Customary right of occupancy,2
00-21-01-85,2,Customary right of occupancy,0
00-21-09-69,1,Purchased,0
00-21-09-69,2,Purchased,2
00-21-16-29,1,Purchased,0
00-21-16-29,2,Inherited,0
00-21-56-39,1,Inherited,0
00-21-56-39,2,Rented or leased in,0
00-21-56-39,3,Inherited,0
00-21-56-39,4,Rented or leased in,0
00-21-66-74,1,Customary right of occupancy,0
00-21-66-74,2,Customary right of occupancy,3
00-21-82-95,1,Customary right of occupancy,0
00-21-95-31,1,Inherited,1
00-22-02-16,1,Purchased,1
00-22-02-16,2,Purchased,1
00-22-02-16,3,Purchased,0
00-22-14-35,1,Rented or leased in,2
00-22-20-71,1,Rented or leased in,0
00-22-62-30,1,Customary right of occupancy,0
00-22-62-30,2,Customary right of occupancy,2
00-22-62-30,3,Customary right of occupancy,0
00-22-62-36,1,Inherited,0
00-22-63-88,1,Inherited,2
00-22-63-88,2,Purchased,1
00-22-95-12,1,Customary right of occupancy,1
00-23-14-32,1,Inherited,1
00-23-14-32,2,Purchased,1
00-23-15-45,1,Inherited,0
00-23-15-45,2,Borrowed for free,0
00-23-73-51,1,Borrowed for free,0
00-23-91-37,1,Customary right of occupancy,1
00-23-91-70,1,Other,1
00-23-91-70,2,Other,0
00-23-91-70,3,Other,0
00-24-10-09,1,Rented or leased in,0
00-24-10-09,2,Customary right of occupancy,0
00-24-10-09,3,Customary right of occupancy,0
00-24-10-09,4,Customary right of occupancy,0
00-24-10-09,5,Customary right of occupancy,0
00-24-11-83,1,Customary right of occupancy,0
00-24-20-76,1,Granted right of occupancy,4
00-24-20-76,2,Inherited,1
00-24-32-31,1,Inherited,1
00-24-34-20,1,Inherited,0
00-24-34-20,2,Rented or leased in,0
00-24-37-43,1,Purchased,1
00-24-39-08,1,Granted right of occupancy,0
00-24-39-08,2,Granted right of occupancy,0
00-24-51-51,1,Customary right of occupancy,1
00-24-51-51,2,Customary right of occupancy,1
00-24-56-56,1,Purchased,1
00-24-56-56,2,Rented or leased in,0
00-24-68-58,1,Rented or leased in,1
00-24-70-03,1,Customary right of occupancy,0
00-24-70-03,2,Customary right of occupancy,0
00-24-77-76,1,Inherited,0
00-24-87-25,1,Inherited,0
00-25-14-26,1,Customary right of occupancy,1
00-25-19-80,1,Inherited,0
00-25-19-80,2,Inherited,0
00-25-19-80,3,Inherited,0
00-25-21-56,1,Inherited,1
00-25-21-56,2,Purchased,1
00-25-21-56,3,Purchased,0
00-25-41-90,1,Purchased,2
00-25-41-90,2,Purchased,4
00-25-53-05,1,Inherited,2
00-25-53-05,2,Inherited,2
00-25-59-51,1,Rented or leased in,1
00-25-59-51,2,,0
00-25-68-54,1,Customary right of occupancy,1
00-25-68-54,3,Customary right of occupancy,1
00-25-68-54,4,Customary right of occupancy,0
00-25-71-60,1,Inherited,1
00-25-71-60,2,Inherited,0
00-25-71-60,3,Rented or leased in,0
00-25-71-62,1,Rented or leased in,1
00-25-75-19,1,Inherited,1
00-25-98-73,1,Inherited,1
00-25-98-73,2,Inherited,1
00-25-99-62,1,Rented or leased in,0
00-25-99-62,2,Rented or leased in,0
00-25-99-62,3,Rented or leased in,0
00-26-02-21,1,Inherited,1
00-26-02-21,2,Inherited,1
00-26-05-81,1,Purchased,0
00-26-05-81,2,Purchased,0
00-26-09-98,1,Inherited,1
00-26-15-54,1,Purchased,0
00-26-36-40,1,Inherited,0
00-26-36-40,2,Inherited,0
00-26-44-79,1,Customary right of occupancy,1
00-26-44-79,2,Customary right of occupancy,0
00-26-56-97,1,Customary right of occupancy,6
00-26-62-90,1,Customary right of occupancy,0
00-26-86-91,1,Borrowed for free,1
00-26-86-91,2,Rented or leased in,0
00-26-91-04,1,Rented or leased in,1
