holding_id,holding_type,mainland_zanzibar,region,stratum_id,ea_id,weight,s2q10__1,s2q10__2,s2q10__3,s2q10__4,s2q10__5,s2q10__6,s2q10__7,s20q08,s20q09
57-64-93-71,Household,"Mainland, Tanzania",Tanga,657,9533,214,No,No,No,No,No,No,Yes,No,
57-65-19-36,Household,Zanzibar,Kaskazini Unguja,609,2976,78,No,No,No,No,No,No,Yes,No,
57-66-47-31,Household,"Mainland, Tanzania",Morogoro,669,5403,744,No,No,No,No,No,No,Yes,No,
57-66-62-42,Household,"Mainland, Tanzania",Morogoro,735,4353,218,No,No,No,No,No,No,Yes,No,
57-73-29-01,Household,"Mainland, Tanzania",Mara,925,1168,200,No,No,No,No,No,No,Yes,,
57-73-75-10,,"Mainland, Tanzania",,872,8160,819,No,No,No,No,No,No,Yes,,
57-78-70-06,Household,"Mainland, Tanzania",Manyara,471,6850,409,No,No,No,No,No,No,Yes,No,
57-81-73-39,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
57-82-23-82,Household,Zanzibar,Kusini Unguja,314,8255,97,No,No,No,No,No,No,Yes,,
57-92-27-64,Household,"Mainland, Tanzania",Songwe,249,5564,164,No,No,No,No,No,No,Yes,No,
57-94-56-52,Household,"Mainland, Tanzania",Tanga,657,6925,758,No,No,No,No,No,No,Yes,No,
57-95-45-25,Household,"Mainland, Tanzania",Dar es Salaam,102,9607,471,No,No,No,No,No,No,Yes,No,
58-03-04-00,Household,"Mainland, Tanzania",Manyara,471,8802,394,No,No,No,No,No,No,Yes,No,
58-08-30-32,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
58-09-28-05,Household,"Mainland, Tanzania",Iringa,739,4954,258,No,No,No,No,No,No,Yes,No,
58-10-13-04,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
58-13-21-96,Household,"Mainland, Tanzania",Tabora,289,3802,271,No,No,No,No,No,No,Yes,No,
58-13-51-24,Household,Zanzibar,Kusini Unguja,361,3013,93,No,No,No,No,No,No,Yes,,
58-16-69-29,Household,"Mainland, Tanzania",Lindi,271,8936,690,No,No,No,No,No,No,Yes,,
58-18-05-10,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
58-21-02-89,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
58-21-04-84,Household,"Mainland, Tanzania",Iringa,739,4971,223,No,No,No,No,No,No,Yes,No,
58-32-46-14,Household,"Mainland, Tanzania",Morogoro,735,6928,455,No,No,No,No,No,No,Yes,No,
58-35-65-43,Household,"Mainland, Tanzania",Dar es Salaam,153,3676,888,No,No,No,No,No,No,Yes,,
58-36-38-14,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
58-41-63-80,Household,Zanzibar,Mjini Magharibi,500,7600,49,No,No,No,No,No,No,Yes,,
58-43-92-26,Household,"Mainland, Tanzania",Dodoma,302,7811,1391,No,No,No,No,No,No,Yes,No,
58-44-27-38,Household,"Mainland, Tanzania",Morogoro,872,2006,865,No,No,No,No,No,No,Yes,No,
58-45-88-17,Household,Zanzibar,Kusini Unguja,314,9371,98,No,No,No,No,No,No,Yes,No,
58-48-30-39,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
58-48-59-40,Household,"Mainland, Tanzania",Manyara,203,9970,346,No,No,No,No,No,No,Yes,,
58-53-68-69,Household,"Mainland, Tanzania",Mwanza,114,6437,719,No,No,No,No,No,No,Yes,,
58-56-42-38,Household,"Mainland, Tanzania",Morogoro,735,4094,377,No,No,No,No,No,No,Yes,,
58-57-71-90,Household,"Mainland, Tanzania",Lindi,388,4032,1197,No,No,No,No,No,No,Yes,No,
58-60-09-34,Household,"Mainland, Tanzania",Dar es Salaam,102,3046,315,No,No,No,No,No,No,Yes,,
58-68-28-12,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
58-75-98-82,Household,"Mainland, Tanzania",Dodoma,302,4064,181,No,No,No,No,No,No,Yes,No,
58-76-04-92,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
